Date,metal,fmcg,oil,cnxbank,real,pharma,cnxauto,capgoods,it,power,cement,steel,telecom,autoancs,media
21/10/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24/10/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25/10/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26/10/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27/10/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28/10/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31/10/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1/11/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2/11/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3/11/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4/11/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7/11/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8/11/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9/11/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10/11/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11/11/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14/11/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15/11/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16/11/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17/11/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18/11/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21/11/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22/11/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23/11/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24/11/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25/11/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28/11/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29/11/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30/11/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1/12/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2/12/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5/12/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6/12/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7/12/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8/12/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9/12/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12/12/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13/12/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14/12/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15/12/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16/12/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19/12/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20/12/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21/12/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22/12/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
